Channel Title,Channel Username,ID,Message,Date,Media Path
AwasMart-አዋስማርት🎁,@AwasMart,8935,,2024-09-30 12:03:52+00:00,photos\@AwasMart_8935.jpg
AwasMart-አዋስማርት🎁,@AwasMart,8934,,2024-09-30 12:03:52+00:00,photos\@AwasMart_8934.jpg
AwasMart-አዋስማርት🎁,@AwasMart,8933,,2024-09-30 12:03:51+00:00,photos\@AwasMart_8933.jpg
AwasMart-አዋስማርት🎁,@AwasMart,8932,,2024-09-30 12:03:51+00:00,photos\@AwasMart_8932.jpg
AwasMart-አዋስማርት🎁,@AwasMart,8931,"❇️Baby bank feeding bottle

       ዋጋ💵፦  💰 1,900 ብር

💬በቴሌግራም ለማዘዝ @awasadmin1
                                        @awasadmin2

📍አድራሻችን:-
1️⃣.📌መገናኛ ኪኔሬት ሕንፃ 1ኛ ፎቅ ቁ. 101 (ንግድ ባንክ እና ጎህ ቤቶች ባንክ ያሉበት) 

2️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

3️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",2024-09-30 12:03:51+00:00,photos\@AwasMart_8931.jpg
AwasMart-አዋስማርት🎁,@AwasMart,8930,,2024-09-30 06:15:37+00:00,
AwasMart-አዋስማርት🎁,@AwasMart,8929,,2024-09-30 06:15:36+00:00,photos\@AwasMart_8929.jpg
AwasMart-አዋስማርት🎁,@AwasMart,8928,,2024-09-30 06:15:36+00:00,photos\@AwasMart_8928.jpg
AwasMart-አዋስማርት🎁,@AwasMart,8927,,2024-09-30 06:15:36+00:00,photos\@AwasMart_8927.jpg
AwasMart-አዋስማርት🎁,@AwasMart,8926,,2024-09-30 06:15:36+00:00,photos\@AwasMart_8926.jpg
